Month,Weekday,Turbidity,Air Temperature (°C)
1,Thursday,26.5,1.6499999999999995
1,Thursday,27.1,1.849999999999999
1,Thursday,26.5,2.1722222222222203
1,Thursday,27.5,2.9055555555555537
1,Thursday,28.8,3.383333333333335
1,Thursday,30.4,3.066666666666668
1,Thursday,27.3,3.0944444444444446
1,Thursday,27.7,2.7888888888888905
1,Thursday,27.9,2.8388888888888886
1,Thursday,26.2,2.944444444444443
1,Thursday,26.4,1.4333333333333325
1,Thursday,25.1,1.4333333333333325
1,Thursday,23.8,2.3499999999999983
1,Thursday,25.7,2.716666666666667
1,Thursday,23.7,2.666666666666665
1,Thursday,24.1,2.5833333333333326
1,Thursday,23,3.3222222222222206
1,Thursday,24.3,3.9833333333333343
1,Thursday,23.4,4.31111111111111
1,Thursday,24.4,4.461111111111112
1,Thursday,30.5,4.200000000000001
1,Thursday,30.6,4.055555555555554
1,Thursday,33.7,4.122222222222224
1,Thursday,38,4.283333333333334
1,Thursday,36.5,4.53888888888889
1,Thursday,37.5,4.883333333333333
1,Thursday,36.3,5.083333333333332
1,Thursday,36.8,5.205555555555554
1,Thursday,36,5.5444444444444425
1,Thursday,37,5.82222222222222
1,Thursday,35.3,5.816666666666666
1,Thursday,36.5,5.777777777777777
1,Thursday,37,5.855555555555555
1,Thursday,36.9,6.050000000000001
1,Thursday,39.2,6.25
1,Thursday,39.2,6.383333333333335
1,Thursday,39.3,6.55
1,Thursday,37.3,6.516666666666665
1,Thursday,35.7,6.388888888888889
1,Thursday,36.3,6.305555555555556
1,Thursday,37.5,6.205555555555557
1,Thursday,36.7,5.733333333333333
1,Thursday,32.2,5.122222222222222
1,Thursday,38.5,4.849999999999998
1,Thursday,38.3,4.727777777777777
1,Thursday,36.9,4.649999999999999
1,Thursday,33.9,4.555555555555557
1,Thursday,34.8,4.527777777777777
1,Thursday,33.7,4.500000000000001
1,Thursday,36.1,4.427777777777777
1,Thursday,33.8,4.388888888888888
1,Thursday,33.1,4.333333333333332
1,Thursday,32.8,4.322222222222223
1,Thursday,31.7,4.288888888888888
1,Thursday,31.2,4.2777777777777795
1,Thursday,36.1,4.2777777777777795
1,Thursday,31.8,4.2777777777777795
1,Thursday,35.8,4.238888888888891
1,Thursday,36.1,4.166666666666667
1,Thursday,33.6,4.166666666666667
1,Thursday,35.6,4.166666666666667
1,Thursday,33.8,4.166666666666667
1,Thursday,34.1,4.144444444444445
1,Thursday,34.1,4.055555555555554
1,Thursday,32.2,4.055555555555554
1,Thursday,31.4,4.066666666666666
1,Thursday,33,4.166666666666667
1,Friday,30.8,4.094444444444443
1,Friday,30.8,4.000000000000002
1,Friday,29.6,3.811111111111111
1,Friday,26.9,3.511111111111111
1,Friday,33,2.855555555555556
1,Friday,33.5,2.361111111111111
1,Friday,34.4,2.2166666666666677
1,Friday,36.8,2.0444444444444443
1,Friday,37.7,2.016666666666668
1,Friday,38.6,2.055555555555557
1,Friday,37.5,2.133333333333335
1,Friday,36.7,2.055555555555557
1,Friday,37,2.0111111111111097
1,Friday,36.5,1.877777777777779
1,Friday,36.9,1.6944444444444429
1,Friday,37.7,1.6055555555555558
1,Friday,36.4,1.5444444444444452
1,Friday,35.9,1.5111111111111104
1,Friday,37.6,1.5000000000000016
1,Friday,38.9,1.4777777777777759
1,Friday,37.1,1.338888888888887
1,Friday,35.7,1.0277777777777786
1,Friday,36.9,0.5333333333333338
1,Friday,35.4,0.09444444444444539
1,Friday,36.7,-0.27222222222222137
1,Friday,37.9,-0.6500000000000009
1,Friday,36.9,-1.0500000000000003
1,Friday,37,-1.6499999999999995
1,Friday,34.9,-2.155555555555555
1,Friday,36,-2.527777777777778
1,Friday,34.5,-2.833333333333334
1,Friday,34.9,-3.099999999999999
1,Friday,36.1,-3.4222222222222225
1,Friday,35.7,-3.622222222222222
1,Friday,36,-3.861111111111111
1,Friday,35.8,-4.105555555555556
1,Friday,34.8,-4.249999999999999
1,Friday,35.1,-4.094444444444445
1,Friday,36.2,-3.8944444444444457
1,Friday,34.9,-3.677777777777779
1,Friday,33.2,-3.5055555555555546
1,Friday,32.7,-3.072222222222223
1,Friday,32.9,-3.1833333333333336
1,Friday,32.3,-2.755555555555556
1,Friday,33,-2.438888888888889
1,Friday,32.8,-2.638888888888889
1,Friday,33.4,-2.755555555555556
1,Friday,34,-2.6444444444444453
1,Friday,35.2,-2.461111111111111
1,Friday,36,-2.272222222222222
1,Friday,34.4,-2.205555555555555
1,Friday,32.9,-2.027777777777777
1,Friday,31.8,-1.7944444444444447
1,Friday,33.6,-1.8722222222222227
1,Friday,34.6,-1.7277777777777774
1,Friday,51.1,-2.066666666666666
1,Friday,46.8,-1.9722222222222225
1,Friday,34.5,-1.4499999999999997
1,Friday,36,-1.288888888888889
1,Friday,37.2,-0.5055555555555556
1,Friday,37.1,-0.6222222222222228
1,Friday,36.8,-0.93888888888888955
1,Friday,36.8,-0.7833333333333334
1,Friday,36.7,-0.43888888888888844
1,Friday,36.5,-0.7722222222222226
1,Friday,38.5,-0.4555555555555557
1,Friday,36,-0.9333333333333331
1,Friday,37.4,-0.6166666666666664
1,Friday,38.5,-0.9666666666666658
1,Friday,36.7,-0.7555555555555552
1,Friday,37.2,-1.122222222222222
1,Friday,36.6,-1.4444444444444453
1,Friday,36.3,-1.5833333333333341
1,Friday,34.9,-2.0388888888888896
1,Friday,37.1,-2.394444444444444
1,Friday,36.2,-2.677777777777778
1,Friday,37.2,-2.9611111111111104
1,Friday,35.3,-3.1444444444444444
1,Friday,35.3,-3.344444444444444
1,Friday,35.8,-3.533333333333333
1,Friday,37.5,-3.75
1,Friday,34.7,-3.9055555555555563
1,Friday,36.4,-4.105555555555556
1,Friday,35.7,-4.277777777777778
1,Friday,34.4,-4.500000000000001
1,Friday,35.4,-4.722222222222222
1,Friday,34.6,-4.966666666666667
1,Friday,34.1,-5.133333333333332
1,Friday,33.4,-5.311111111111111
1,Friday,33.5,-5.388888888888889
1,Friday,32.8,-5.477777777777778
1,Friday,32.1,-5.511111111111112
1,Friday,31.4,-5.594444444444445
1,Friday,32,-5.716666666666666
1,Friday,32.1,-5.822222222222223
1,Friday,31.9,-6.033333333333333
1,Saturday,30.4,-6.105555555555554
1,Saturday,31,-6.322222222222221
1,Saturday,30.3,-6.483333333333334
1,Saturday,29.3,-6.533333333333335
1,Saturday,29.8,-6.538888888888888
1,Saturday,31.5,-6.733333333333334
1,Saturday,32,-6.872222222222224
1,Saturday,30.3,-6.916666666666667
1,Saturday,29.5,-6.811111111111113
1,Saturday,30.4,-6.988888888888888
1,Saturday,30.8,-7.077777777777777
1,Saturday,30.6,-6.838888888888889
1,Saturday,31.1,-6.666666666666667
1,Saturday,31.3,-6.733333333333334
1,Saturday,33.4,-6.883333333333334
1,Saturday,32.5,-6.855555555555556
1,Saturday,33.2,-6.933333333333334
1,Saturday,33.1,-6.9944444444444445
1,Saturday,32.7,-7.138888888888889
1,Saturday,34.1,-7.277777777777778
1,Saturday,33.5,-7.472222222222222
1,Saturday,33.9,-7.577777777777778
1,Saturday,34.7,-7.955555555555555
1,Saturday,34.6,-8.016666666666667
1,Saturday,35,-7.822222222222221
1,Saturday,31.6,-7.533333333333333
1,Saturday,34.8,-7.683333333333333
1,Saturday,34.4,-7.799999999999999
1,Saturday,31.7,-7.91111111111111
1,Saturday,32.3,-7.888888888888889
1,Saturday,31.9,-7.96111111111111
1,Saturday,32.6,-8.033333333333335
1,Saturday,31.6,-7.9944444444444445
1,Saturday,30.5,-7.861111111111111
1,Saturday,32.5,-8.083333333333334
1,Saturday,33,-7.888888888888889
1,Saturday,30.9,-6.772222222222222
1,Saturday,31.3,-5.683333333333334
1,Saturday,31.4,-4.550000000000001
1,Saturday,31.2,-4.227777777777778
1,Saturday,29.4,-3.9777777777777774
1,Saturday,29.4,-3.4611111111111112
1,Saturday,30.2,-3.466666666666666
1,Saturday,29.1,-3.2055555555555553
1,Saturday,28.7,-2.883333333333334
1,Saturday,29.6,-2.322222222222222
1,Saturday,30.1,-2.0222222222222226
1,Saturday,28.9,-1.5277777777777777
1,Saturday,28.6,-1.1111111111111112
1,Saturday,29.3,-0.7222222222222227
1,Saturday,28.6,-0.11111111111111072
1,Saturday,29.2,0.23333333333333428
1,Saturday,29,0.13333333333333444
1,Saturday,27.7,1.1277777777777784
1,Saturday,28.6,1.1111111111111112
1,Saturday,26.1,1.3222222222222237
1,Saturday,26,1.5000000000000016
1,Saturday,27.6,2.0888888888888877
1,Saturday,28.2,2.4166666666666674
1,Saturday,28.2,2.6055555555555543
1,Saturday,27.6,3.011111111111112
1,Saturday,29.7,3.316666666666666
1,Saturday,29.2,3.4777777777777765
1,Saturday,29.2,3.561111111111109
1,Saturday,30.3,3.827777777777778
1,Saturday,30,3.9722222222222214
1,Saturday,29.8,4.194444444444443
1,Saturday,30.6,4.449999999999999
1,Saturday,30.8,4.527777777777777
1,Saturday,30.3,4.5055555555555555
1,Saturday,31.5,4.466666666666666
1,Saturday,31.2,4.333333333333332
1,Saturday,31.9,4.233333333333332
1,Saturday,32.3,4.072222222222221
1,Saturday,31.9,4.000000000000002
1,Saturday,29.8,3.9333333333333322
1,Saturday,29.1,4.000000000000002
1,Saturday,29.2,4.000000000000002
1,Saturday,30.6,3.966666666666667
1,Saturday,29.1,3.8833333333333346
1,Saturday,29.2,3.8055555555555562
1,Saturday,28,3.827777777777778
1,Saturday,28.3,3.7277777777777783
1,Saturday,28,3.5500000000000003
1,Saturday,28.2,3.433333333333333
1,Saturday,28.7,3.3888888888888897
1,Saturday,28.5,3.3888888888888897
1,Saturday,28.4,3.455555555555555
1,Saturday,28.3,3.4999999999999982
1,Saturday,27,3.4500000000000006
1,Saturday,28.1,3.3888888888888897
1,Saturday,28.2,3.366666666666668
1,Saturday,27.8,3.199999999999999
1,Saturday,28.4,3.1666666666666683
1,Saturday,29.1,3.1555555555555554
1,Saturday,31.1,3.099999999999999
1,Sunday,27.5,3.0777777777777775
1,Sunday,28.8,2.950000000000001
1,Sunday,30.5,2.9555555555555557
1,Sunday,29.7,2.999999999999999
1,Sunday,28.6,2.999999999999999
1,Sunday,58.6,2.972222222222223
1,Sunday,28.1,2.894444444444445
1,Sunday,28.2,2.9777777777777774
1,Sunday,26.3,2.972222222222223
1,Sunday,32.8,2.994444444444445
1,Sunday,40,2.9888888888888903
1,Sunday,35.6,3.0555555555555554
1,Sunday,28,3.0833333333333317
1,Sunday,27.5,2.844444444444443
1,Sunday,27.7,2.6444444444444435
1,Sunday,28.5,2.588888888888887
1,Sunday,28.5,2.5055555555555546
1,Sunday,27.7,2.5
1,Sunday,27.7,2.5555555555555562
1,Sunday,30.1,2.616666666666667
1,Sunday,29.4,2.7333333333333343
1,Sunday,28.5,2.694444444444445
1,Sunday,27.6,2.550000000000002
1,Sunday,28.5,2.372222222222224
1,Sunday,27.8,2.055555555555557
1,Sunday,28.3,2.016666666666668
1,Sunday,28,2.049999999999999
1,Sunday,28.8,1.7333333333333318
1,Sunday,28.7,1.93888888888889
1,Sunday,26.1,1.9222222222222227
1,Sunday,27.8,2.055555555555557
1,Sunday,28.1,2.3555555555555565
1,Sunday,27.3,2.550000000000002
1,Sunday,27.1,2.8277777777777797
1,Sunday,27.7,2.8500000000000014
1,Sunday,27.9,2.866666666666665
1,Sunday,27.8,2.8277777777777797
1,Sunday,26.6,2.9055555555555537
1,Sunday,28.7,3.022222222222221
1,Sunday,27.6,3.2111111111111117
1,Sunday,27,3.383333333333335
1,Sunday,26.2,3.6944444444444438
1,Sunday,26.8,3.9000000000000017
1,Sunday,27.1,4.200000000000001
1,Sunday,26.9,4.755555555555556
1,Sunday,27.5,5.094444444444445
1,Sunday,26.2,5.316666666666666
1,Sunday,26.5,5.86111111111111
1,Sunday,27,6.277777777777776
1,Sunday,25.8,6.705555555555556
1,Sunday,24.8,6.244444444444445
1,Sunday,25.8,6.166666666666668
1,Sunday,27.1,6.355555555555554
1,Sunday,25.8,6.900000000000001
1,Sunday,26.2,8.666666666666666
1,Sunday,24.4,10.100000000000001
1,Sunday,24.5,10.544444444444443
1,Sunday,25.7,10.272222222222224
1,Sunday,25,10.150000000000002
1,Sunday,24.6,9.63888888888889
1,Sunday,25.2,10.344444444444443
1,Sunday,25.3,11.077777777777776
1,Sunday,26.2,11.211111111111112
1,Sunday,26,11.45
1,Sunday,27.6,7.938888888888887
1,Sunday,27.4,8.655555555555555
1,Sunday,27.9,9.516666666666667
1,Sunday,27.4,10.766666666666667
1,Sunday,26.7,11.733333333333333
1,Sunday,27,10.605555555555558
1,Sunday,26.9,9.27222222222222
1,Sunday,27.1,9.455555555555557
1,Sunday,27.1,10.294444444444444
1,Sunday,27.7,10.233333333333334
1,Sunday,27.6,10.744444444444447
1,Sunday,27.7,12.033333333333331
1,Sunday,27.4,12.672222222222224
1,Sunday,26.1,13.366666666666667
1,Sunday,26.2,13.433333333333334
1,Sunday,25.6,13.68888888888889
1,Sunday,25.1,13.644444444444446
1,Sunday,25.9,13.666666666666666
1,Sunday,25.2,13.916666666666664
1,Sunday,26.2,13.961111111111112
1,Sunday,25.6,13.466666666666669
1,Sunday,24.9,14.327777777777776
1,Sunday,25.2,14.86111111111111
1,Sunday,25.5,14.81111111111111
1,Sunday,25.6,14.155555555555553
1,Sunday,25.9,14.444444444444445
1,Sunday,25.1,14.805555555555555
1,Sunday,25.5,15.200000000000001
1,Sunday,25.4,15.405555555555553
1,Sunday,25.3,15.633333333333333
1,Sunday,25.3,15.733333333333333
1,Sunday,25.4,15.799999999999999
1,Monday,26.2,15.755555555555556
1,Monday,26.3,15.633333333333333
1,Monday,26.5,15.599999999999998
1,Monday,26.8,15.694444444444445
1,Monday,26.6,15.533333333333335
1,Monday,30.4,15.455555555555556
1,Monday,27,15.233333333333336
1,Monday,29.1,15.050000000000002
1,Monday,28.1,14.905555555555553
1,Monday,30.4,14.81111111111111
1,Monday,28,14.766666666666664
1,Monday,27.7,15.25
1,Monday,38.1,15.33888888888889
1,Monday,34,15.599999999999998
1,Monday,36.8,15.461111111111109
1,Monday,73.9,15.316666666666666
1,Monday,27,15.02222222222222
1,Monday,27,15.538888888888888
1,Monday,26,15.899999999999999
1,Monday,30,16.08888888888889
1,Monday,28.3,16.227777777777778
1,Monday,27.7,16.544444444444444
1,Monday,28.7,16.43888888888889
1,Monday,27.5,16.555555555555557
1,Monday,27.7,16.394444444444442
1,Monday,27,16.227777777777778
1,Monday,27.6,16.77777777777778
1,Monday,37.4,16.561111111111114
1,Monday,29.5,16.43333333333333
